"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1733","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","2","2","1","4.216969","0","2"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","4.705743","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","3.838669","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","12","12","1","141.796646","0","12"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","2","2","1","3.733663","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","19.619825","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","4.271083","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","15","15","1","111.797668","0","15"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","21","24","24","1","61.021843","0","24"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","24","24","1","74.192604","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","72","72","1","197.072647","0","72"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","1.882998","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","2","2","1","1.850512","0","2"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","24","24","1","54.696140","0","24"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","32","32","1","58.830872","0","32"
"/DOWNSHOT_SDK/Refrences/Materials/FlatColor.FlatColor","21","36","36","1","77.716766","0","36"
"/DOWNSHOT_SDK/Refrences/Materials/NullMaterial.NullMaterial","21","30","30","1","9.968396","0","30"
"/DOWNSHOT_SDK/Refrences/Materials/Reflective.Reflective","21","36","36","1","78.791786","0","36"
"/DOWNSHOT_SDK/Refrences/Materials/WhiteAdditive.WhiteAdditive","21","2","2","1","1.712634","0","2"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","24","24","1","54.572144","0","24"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","4","4","1","3.681318","0","4"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.711868","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","24","24","1","52.830853","0","24"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.849104","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","12","12","1","0.000000","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.130177","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","0.717547","0","7"
